,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
313089114,Across Courthouse Parking Place,surface,"POLYGON ((299947.5223416672 4632788.519350328, 299973.14519174 4632821.582290736, 299929.312797865 4632859.127060001, 299904.8502540584 4632826.24285098, 299947.5223416672 4632788.519350328))",122,,2368.6412280056647,19.415092032833318,0.4215932542219366
313089115,P2 Lot,surface,"POLYGON ((299980.996241754 4632832.407798087, 299986.8699315985 4632839.710583172, 299984.8340329353 4632860.181116462, 299950.908048774 4632887.291221475, 299935.8021796778 4632868.523885568, 299980.996241754 4632832.407798087))",60,,1287.5612044343968,21.45935340723995,0.2291723675874966
313089118,Lot 200,surface,"POLYGON ((300005.287803615 4632853.873518349, 300006.5469341644 4632800.365465745, 300058.3202026098 4632757.553583512, 300054.335194011 4632753.575951357, 300068.8260391939 4632741.512841566, 300051.1873976943 4632722.238424995, 300062.1975447711 4632712.028642746, 300081.5761657279 4632734.365774197, 300078.9585679936 4632737.061667004, 300078.6789071107 4632740.725474424, 300082.7553813406 4632787.405375181, 300080.7254903659 4632792.385054287, 300005.287803615 4632853.873518349))",177,6.0,4522.751244089515,25.552266915759972,0.8050022065340201
313089119,100 Pine St,surface,"POLYGON ((299819.2583780811 4632830.33387425, 299825.7034758843 4632826.597006153, 299848.5727640262 4632778.705275109, 299829.1558254177 4632751.769281254, 299776.7807001948 4632773.397352506, 299819.2583780811 4632830.33387425))",100,,2958.0282684813933,29.580282684813934,0.5264979554711056
313089121,District Court Employee Lot,surface,"POLYGON ((299937.866430975 4632713.948335893, 299945.3799091738 4632723.105313065, 299949.813601688 4632735.371249754, 299950.8588590617 4632751.299305062, 299947.3653715934 4632759.809367114, 299942.3590099463 4632760.31650658, 299917.1540119282 4632727.641980635, 299937.866430975 4632713.948335893))",32,,858.4229167588553,26.82571614871423,0.1527902608027166
369433551,Providence River Animal Hospital Parking Lot,surface,"POLYGON ((299919.7505259962 4632185.163008353, 299933.7785886119 4632191.536982153, 299933.0986006982 4632193.078448269, 299952.9447855795 4632202.978584125, 299958.0264888623 4632192.99051623, 299952.0718973731 4632189.934920887, 299938.5681934044 4632182.990587343, 299943.8519481808 4632172.796819995, 299940.9924880713 4632171.321284016, 299944.6043626635 4632164.352544337, 299933.8416027221 4632158.809291598, 299919.7505259962 4632185.163008353))",18,3.0,681.2377110356056,37.846539501978086,0.12125315564823792
369433552,,surface,"POLYGON ((299941.7870325466 4632226.327444301, 299962.1031499344 4632236.092183731, 299986.1317402866 4632186.446194127, 299965.9001457694 4632176.734572094, 299958.0264888623 4632192.99051623, 299952.9447855795 4632202.978584125, 299948.6730766641 4632211.910490125, 299941.7870325466 4632226.327444301))",36,2.0,1243.2749780875781,34.53541605798828,0.2212898845579815
369433554,,surface,"POLYGON ((299910.7087034762 4632244.823362274, 299935.861865067 4632257.21932542, 299948.6516461625 4632231.302172082, 299939.6515787425 4632226.954066787, 299923.4446384389 4632219.063243672, 299918.5927775415 4632228.94488253, 299918.1995748723 4632229.744889973, 299911.2359477368 4632243.764009795, 299910.7087034762 4632244.823362274))",24,1.0,807.0777144761493,33.62823810317288,0.1436513542164812
369433555,,surface,"POLYGON ((299935.861865067 4632257.21932542, 299948.5133239571 4632263.420794402, 299961.3031363325 4632237.503664712, 299948.6516461625 4632231.302172082, 299935.861865067 4632257.21932542))",9,,407.2057347316848,45.24508163685387,0.07247834277878874
383731446,,surface,"POLYGON ((300280.8067323875 4632305.803763677, 300217.4510275512 4632274.185379094, 300234.9555739969 4632239.380227104, 300274.0568663637 4632258.898676191, 300272.0532696506 4632263.344149981, 300281.9173138451 4632267.979613281, 300301.8241307378 4632251.865004659, 300304.326053721 4632245.02755044, 300306.7787310815 4632255.13778363, 300280.8067323875 4632305.803763677))",88,4.0,2914.146098815507,33.11529657744894,0.518687390285876
486628959,Friendship Lot,surface,"POLYGON ((299883.2029380255 4632819.638297661, 299858.7281053142 4632786.032266586, 299841.9251437727 4632816.396152305, 299843.2978894629 4632818.513429335, 299851.4924803025 4632821.728291326, 299865.2943245164 4632836.075994004, 299883.2029380255 4632819.638297661))",60,,996.8335650400503,16.613892750667507,0.17742590208848813
486628960,,surface,"POLYGON ((299735.8440757039 4632659.46673687, 299744.7569913969 4632653.026872965, 299739.2479629511 4632646.291869566, 299747.5426601917 4632640.925046601, 299788.8239197272 4632694.294615529, 299761.6211116879 4632710.404516857, 299740.627438549 4632683.579676632, 299749.6471661558 4632677.392402921, 299735.8440757039 4632659.46673687))",59,2.0,1658.5072844761944,28.110292957223635,0.2951968727665133
486628962,,surface,"POLYGON ((300089.806634845 4632195.519057699, 300076.9960149549 4632189.866305782, 300088.1504805963 4632168.162409814, 300090.9512203971 4632163.094472946, 300091.9485387333 4632161.899726448, 300094.1334548731 4632160.960619583, 300097.3441024446 4632160.137228997, 300100.5998690525 4632160.923866437, 300103.4523292453 4632162.744143443, 300104.8427431195 4632165.194346606, 300105.6829755367 4632174.116243435, 300108.1267558367 4632193.094331819, 300093.8216517009 4632186.616666371, 300089.806634845 4632195.519057699))",25,1.0,657.1246301576491,26.284985206305965,0.1169612805780679
486635210,,surface,"POLYGON ((299959.3811074864 4632267.972113673, 299970.1864303908 4632245.988870296, 299977.2785085558 4632249.59042374, 299975.5525294477 4632252.961420109, 299993.3874492884 4632261.995728708, 299997.8874936707 4632253.201908753, 299998.9810089812 4632253.660192185, 300022.9757909549 4632264.477637423, 300025.4133304256 4632266.620660775, 300011.3080408531 4632293.952480764, 299959.3811074864 4632267.972113673))",48,2.0,1550.594735206897,32.30405698347702,0.2759895726993208
486635211,Lot 85,surface,"POLYGON ((300086.5010005656 4632302.401424996, 300074.8730008493 4632324.99649093, 300031.5625946434 4632304.496992006, 300035.4052970686 4632296.866197483, 300039.5028230139 4632298.918239965, 300042.5738579135 4632292.820363261, 300046.1244636534 4632287.520247079, 300050.3894681438 4632279.533141297, 300061.675558046 4632285.072996989, 300059.7524766038 4632288.827316222, 300086.5010005656 4632302.401424996))",39,,1213.7843320889826,31.122675181768784,0.21604085939171627
486635213,,surface,"POLYGON ((300042.902287523 4632323.514606711, 300069.3489000797 4632336.997098295, 300058.4155450907 4632358.272582801, 300031.9689843899 4632344.790133334, 300042.902287523 4632323.514606711))",33,1.0,710.072787801359,21.51735720610179,0.1263854963783066
486635215,,surface,"POLYGON ((299979.1110496443 4632359.40699945, 299950.8318812512 4632345.498399327, 299963.0420554939 4632320.853214151, 299938.1688675185 4632309.538330736, 299946.2536245722 4632292.220754755, 299958.0532159134 4632297.69048724, 299961.6159524022 4632299.346326825, 299957.0322937067 4632309.009284651, 299956.7430247477 4632309.661914508, 299954.1363335374 4632308.601557663, 299952.9177917475 4632311.391599453, 299963.8896372137 4632316.395609821, 299963.5014175812 4632317.373273024, 299967.2084626263 4632319.136191447, 299969.5564590404 4632314.825421606, 299980.120535981 4632292.837841755, 300005.8844245555 4632305.383593854, 299979.1110496443 4632359.40699945))",90,4.0,2168.0674277904773,24.089638086560857,0.3858932249627232
486635216,,surface,"POLYGON ((299969.5564590404 4632314.825421606, 299957.0322937067 4632309.009284651, 299961.6159524022 4632299.346326825, 299967.6169029378 4632286.86553572, 299980.120535981 4632292.837841755, 299969.5564590404 4632314.825421606))",8,1.0,338.844642659005,42.355580332375624,0.06031078657469755
486635217,,surface,"POLYGON ((299879.696708138 4632311.011880158, 299899.7500076531 4632320.894931412, 299910.3940203263 4632299.3939362, 299926.0719047953 4632307.09953718, 299942.6504851897 4632274.008625587, 299904.511573602 4632254.753861748, 299901.3520676551 4632260.954296869, 299896.9673904165 4632258.74369962, 299893.4767845221 4632265.586832384, 299891.0898783309 4632270.287653341, 299900.1629182886 4632274.867009055, 299895.8456398227 4632283.355738031, 299894.193006256 4632282.524222265, 299889.0957864152 4632292.546119201, 299879.696708138 4632311.011880158))",71,3.0,2114.8489829250357,29.78660539331036,0.3764209008765874
486635218,Women & Infants Employee Parking Lot,surface,"POLYGON ((299899.7500076531 4632320.894931412, 299915.427860042 4632328.60050801, 299926.0719047953 4632307.09953718, 299910.3940203263 4632299.3939362, 299899.7500076531 4632320.894931412))",14,,419.1080912189237,29.93629222992312,0.07459683719028289
486635219,Women & Infants Parking Lot,surface,"POLYGON ((299873.2745822386 4632365.064863866, 299905.6067139295 4632344.466666354, 299908.4646640072 4632341.741749846, 299910.0145993801 4632339.209099724, 299881.7651002323 4632323.699745378, 299857.1300284553 4632338.948152552, 299873.2745822386 4632365.064863866))",36,,1136.0003519214208,31.55556533115058,0.2021961281012844
486635220,,surface,"POLYGON ((299825.0045170101 4632323.658896831, 299836.3360076147 4632329.330478358, 299841.8415912866 4632332.087426923, 299851.9791407449 4632309.133710188, 299835.5581765244 4632301.315770415, 299825.0045170101 4632323.658896831))",18,,460.65332903954925,25.591851613308293,0.081991453058288
486635221,,surface,"POLYGON ((299881.7651002323 4632323.699745378, 299865.3859421014 4632315.591646355, 299841.8415912866 4632332.087426923, 299836.3360076147 4632329.330478358, 299820.1528710979 4632342.13048283, 299823.1546694115 4632346.01336056, 299824.9873573371 4632348.817810604, 299833.8283024325 4632354.014773598, 299844.3900595893 4632346.773154917, 299857.1300284553 4632338.948152552, 299881.7651002323 4632323.699745378))",36,,893.353218205919,24.81536717238664,0.1590074874911248
486635222,Lot 30,surface,"POLYGON ((299946.7863869153 4632358.935592174, 299971.4476851595 4632371.000965657, 299951.3918476983 4632411.701308573, 299926.7309567956 4632399.647111026, 299946.7863869153 4632358.935592174))",44,,1245.7194531124765,28.311805752556282,0.22172497543135905
486635223,,surface,"POLYGON ((299856.706508266 4632154.683491565, 299881.9415857126 4632167.910418463, 299880.0113951173 4632172.298393897, 299859.3970376656 4632219.170903236, 299831.5957366148 4632206.027187349, 299833.0964497526 4632201.740146804, 299853.9276277061 4632160.228749164, 299856.706508266 4632154.683491565))",51,4.0,1689.8249534051247,33.133822615786755,0.3007710888201238
486635224,,surface,"POLYGON ((299881.9415857126 4632167.910418463, 299856.706508266 4632154.683491565, 299869.3775512016 4632128.980661307, 299871.5698210798 4632126.229962184, 299876.2720982029 4632128.498313055, 299896.1210346508 4632138.487128051, 299894.8609477066 4632141.278343891, 299881.9415857126 4632167.910418463))",25,1.0,918.37072510642,36.734829004256795,0.16346034089163006
486635225,,surface,"POLYGON ((299699.134525483 4632127.44710927, 299694.9279388956 4632135.432800978, 299686.3668001167 4632131.628292396, 299690.8334378001 4632122.246244066, 299684.1505875499 4632118.72236596, 299688.4711698622 4632110.355645659, 299692.5385870573 4632104.518550138, 299701.0821982324 4632095.855459324, 299709.0631684822 4632091.430885203, 299711.9135181683 4632090.506313272, 299714.1868631144 4632093.309480459, 299717.236387823 4632093.557231484, 299722.7626516889 4632091.712992735, 299728.6782247231 4632091.891395308, 299730.5058333834 4632090.662172744, 299731.9645095525 4632088.432081123, 299739.4138870041 4632089.056377228, 299776.1719117665 4632092.236143959, 299778.7053881894 4632092.165034228, 299780.0868268514 4632089.848222188, 299784.03117184 4632090.582055711, 299787.8586018771 4632091.296947997, 299791.2595958384 4632091.923799255, 299789.4167310977 4632094.386908053, 299792.1683791277 4632096.16544724, 299775.0657841083 4632125.09316753, 299759.9825940949 4632117.271159828, 299759.1827126548 4632118.982695444, 299741.1712352877 4632110.19836127, 299735.6348087542 4632122.044019197, 299719.9092720614 4632114.44014925, 299726.9333566444 4632097.252103188, 299726.6155088728 4632096.294249197, 299723.0489326054 4632097.172249516, 299718.6428411807 4632100.718570318, 299719.5322693172 4632105.74973471, 299712.04646915 4632109.749236407, 299707.3622685702 4632119.081815831, 299704.0156587398 4632117.431137965, 299702.8837552533 4632119.752072461, 299699.134525483 4632127.44710927))",56,,2528.149283563177,45.14552292077102,0.4499840123587127
685443177,,surface,"POLYGON ((299722.7371450097 4632422.996283678, 299708.8938155932 4632402.471472295, 299684.1607658478 4632418.945632905, 299673.8751818759 4632405.821836311, 299699.7220511227 4632387.271683311, 299704.7235997024 4632394.576538218, 299725.6535236927 4632379.131568855, 299734.5975343172 4632372.601944812, 299757.710961951 4632400.878586802, 299754.141661429 4632403.134594273, 299722.7371450097 4632422.996283678))",78,,1918.1027903801219,24.59106141512977,0.3414021455707765
711353162,,surface,"POLYGON ((299917.1540119282 4632727.641980635, 299898.4713608074 4632702.874348237, 299913.3903806228 4632671.707832489, 299932.8574351344 4632707.843688534, 299937.866430975 4632713.948335893, 299917.1540119282 4632727.641980635))",40,,1049.843217319083,26.246080432977074,0.18686106328776672
751132185,,surface,"POLYGON ((299816.1678561459 4632590.21519651, 299833.6869603288 4632612.303877574, 299840.7612227681 4632615.872442294, 299868.560364747 4632629.882928658, 299876.4777737111 4632624.693535212, 299880.9307959577 4632616.31208993, 299881.4929903446 4632615.018391886, 299882.1962788459 4632613.420700775, 299884.7041995961 4632607.705244247, 299900.3514976286 4632571.973318853, 299872.1082578251 4632557.841812403, 299864.081769357 4632552.33304215, 299816.1678561459 4632590.21519651))",74,4.0,3679.355202349271,49.72101624796312,0.6548865716159575
751132186,Lot 81,surface,"POLYGON ((299835.4352032943 4632553.159146696, 299818.2257512904 4632528.483690539, 299812.2711695617 4632526.606136319, 299799.433768487 4632520.876866783, 299773.2011530584 4632509.389602692, 299770.2746727557 4632506.115814487, 299759.7227992155 4632490.899143681, 299809.837290286 4632492.014914332, 299844.1623494568 4632495.363198488, 299840.5674928717 4632521.589293257, 299853.5922577251 4632537.847915816, 299835.4352032943 4632553.159146696))",75,6.0,2689.588746223765,35.86118328298353,0.4787185406689476
751132187,,surface,"POLYGON ((299804.1289035934 4632574.429028298, 299831.6964873436 4632552.930699457, 299812.2711695617 4632526.606136319, 299799.433768487 4632520.876866783, 299789.049589975 4632529.991582318, 299776.6834491139 4632540.1620675, 299804.1289035934 4632574.429028298))",50,2.0,1552.8305138589208,31.056610277178414,0.27638751781083953
751132188,,surface,"POLYGON ((299776.6834491139 4632540.1620675, 299756.9797592321 4632514.589984945, 299770.2746727557 4632506.115814487, 299773.2011530584 4632509.389602692, 299789.049589975 4632529.991582318, 299776.6834491139 4632540.1620675))",26,,500.7795200851358,19.260750772505222,0.08913349350849312
760571438,,surface,"POLYGON ((300047.0975720419 4632250.766623577, 300051.9822321873 4632253.318890653, 300072.3012180878 4632263.194972516, 300088.0010994519 4632270.800294325, 300090.6274803247 4632265.148285667, 300097.7404658083 4632268.015952418, 300101.2874914982 4632259.026666297, 300079.6871197228 4632247.919608844, 300084.2558333916 4632238.012690674, 300085.6768074159 4632235.028092234, 300060.2622051362 4632223.083436339, 300047.0975720419 4632250.766623577))",11,1.0,1235.833333955794,112.34848490507217,0.2199653500826097
760571439,,surface,"POLYGON ((300023.6208240206 4632237.967686258, 300033.5794683432 4632242.411256876, 300036.1975881633 4632243.582446543, 300039.9667424825 4632234.80914653, 300035.3796341476 4632232.493017261, 300036.3146618425 4632229.966524793, 300029.4758345829 4632226.50227462, 300024.6325696551 4632235.805749044, 300023.6208240206 4632237.967686258))",5,,154.08082010534352,30.816164021068705,0.027424767243492913
760571440,,surface,"POLYGON ((299967.7403354943 4632156.091757936, 299982.4172249442 4632163.369959455, 299983.266367962 4632161.634845711, 299994.0578304752 4632139.740944928, 299994.9939916321 4632137.847820128, 299980.4951261576 4632131.286902411, 299967.7403354943 4632156.091757936))",8,,454.61522337208146,56.82690292151018,0.0809167336843341
760571441,,surface,"POLYGON ((300003.7368524151 4632173.640078757, 299992.5756626984 4632167.818990671, 299993.1336731715 4632165.780895019, 299983.266367962 4632161.634845711, 299994.0578304752 4632139.740944928, 300010.0011299111 4632147.417077587, 300002.0019207298 4632163.05419188, 300000.5255215049 4632165.840339335, 300006.2406813862 4632168.658215782, 300003.7368524151 4632173.640078757))",12,,469.782153678862,39.14851280657184,0.08361628793889579
760588369,,surface,"POLYGON ((299786.638906144 4632710.324461664, 299801.0856993668 4632729.276709071, 299811.2857799402 4632723.978707927, 299821.6249224443 4632739.034717687, 299818.3161582939 4632740.794446063, 299767.5373416884 4632762.733372826, 299745.539520748 4632734.480994291, 299786.638906144 4632710.324461664))",95,,2025.6796431068904,21.32294361165148,0.3605496951801443
760588370,,surface,"POLYGON ((299753.5759184188 4632365.512813135, 299755.4841502731 4632360.347543079, 299755.3039617063 4632358.074561859, 299769.7233868074 4632331.311190005, 299790.29074359 4632340.846138819, 299782.2233742788 4632354.029624159, 299768.3282354085 4632346.463200537, 299766.3754167593 4632350.040646403, 299770.5425669593 4632352.201707286, 299767.6632903568 4632355.349551954, 299769.8674679922 4632356.876748591, 299765.27576641 4632359.728180865, 299763.746460438 4632357.959792619, 299753.5759184188 4632365.512813135))",15,,482.914067956534,32.19427119710227,0.08595363071965482
760588371,,surface,"POLYGON ((299781.3891727356 4632356.88669852, 299792.7817219422 4632344.298847402, 299798.3733020304 4632348.34238575, 299803.2739049105 4632352.349759621, 299805.7227317059 4632356.670421148, 299790.8532583353 4632365.033125327, 299781.3891727356 4632356.88669852))",8,,266.1656747631793,33.270709345397414,0.04737469383662944
760588372,,surface,"POLYGON ((299759.1684611663 4632325.173415076, 299772.0917172323 4632298.707640829, 299772.2727868024 4632298.34696174, 299754.8032241579 4632289.602969977, 299745.5962619676 4632284.994216497, 299741.81012483 4632292.556923288, 299752.7785357577 4632297.727402912, 299742.6929239075 4632318.079521589, 299759.1684611663 4632325.173415076))",17,,642.0508351640694,37.76769618612173,0.11427830343079923
760588373,,surface,"POLYGON ((299776.4042453893 4632288.574327337, 299782.9279849913 4632276.367609107, 299758.6950445969 4632264.779767371, 299753.0088168676 4632277.207470314, 299776.4042453893 4632288.574327337))",11,,363.39335539791773,33.03575958162889,0.06468019953947643
760588374,,surface,"POLYGON ((299776.7503123814 4632258.850095299, 299782.880097289 4632262.222887806, 299784.011484451 4632260.179789684, 299788.9235474188 4632262.519978156, 299794.3775851694 4632250.10993805, 299798.1999560036 4632251.53616512, 299801.5681764972 4632245.074236571, 299798.3255781411 4632243.276139118, 299816.2885149429 4632208.579211457, 299796.7483400841 4632199.815430596, 299797.870081868 4632197.428122653, 299788.869869979 4632193.080203005, 299787.4257536244 4632196.421113267, 299782.1664462598 4632194.446266016, 299766.8107043519 4632225.180765493, 299771.5150450185 4632228.115731037, 299769.3731210016 4632232.065190095, 299764.1072876047 4632229.85718043, 299762.3356309091 4632234.262968275, 299783.9274488933 4632244.747047006, 299783.2510212373 4632245.821709817, 299778.3306388905 4632243.481757993, 299772.3952624641 4632255.327478851, 299777.8919836814 4632257.17341617, 299776.7503123814 4632258.850095299))",60,3.0,1961.7844762725736,32.696407937876224,0.34917702675056783
760588375,,surface,"POLYGON ((299675.8479150755 4632281.007556511, 299686.3351308109 4632278.512787728, 299717.94289748 4632225.308099562, 299647.8131891638 4632190.895529638, 299631.9046742052 4632221.168047376, 299675.8479150755 4632281.007556511))",147,,4058.0642164335154,27.605879023357247,0.7222927974990511
760588376,178 Clifford Street,surface,"POLYGON ((299645.4181306934 4632311.021143761, 299619.7788671266 4632329.865684724, 299617.9893423307 4632325.937716854, 299616.9816519928 4632322.321157614, 299611.6375759309 4632303.124596287, 299610.5567003486 4632282.108072468, 299611.4174767092 4632280.494817217, 299619.8841266636 4632274.13403613, 299639.1702698421 4632259.646220948, 299644.1117625864 4632255.929229455, 299651.1680019624 4632265.943329106, 299629.3930459222 4632282.090096253, 299636.3532041869 4632291.051202473, 299632.0107268071 4632294.784712054, 299645.4181306934 4632311.021143761))",50,1.0,1447.3846179561556,28.94769235912311,0.25761925612883524
760588377,170 Clifford Street,surface,"POLYGON ((299641.7381901375 4632362.608256385, 299668.3863706928 4632343.57987966, 299654.404887373 4632323.770230797, 299627.1049550644 4632343.272573627, 299641.7381901375 4632362.608256385))",36,,803.5906144768799,22.321961513246663,0.1430306870512275
760588378,Lifespan Parking Lot,surface,"POLYGON ((299672.0378312019 4632423.275454872, 299655.6921069872 4632402.154274983, 299632.4809751709 4632419.241506271, 299641.0462711452 4632428.235307171, 299640.8644933978 4632431.529684223, 299646.642761601 4632437.779229405, 299648.9246534895 4632440.593244592, 299672.0378312019 4632423.275454872))",30,,769.5164844706915,25.650549482356382,0.13696584988456822
760588379,,surface,"POLYGON ((299540.7116008534 4632461.624672787, 299573.3084621263 4632437.772617802, 299548.7758661383 4632404.869201858, 299542.6291965401 4632392.318233273, 299538.9079964801 4632381.47708876, 299524.5960434733 4632363.821657341, 299510.6704323428 4632349.266867069, 299498.3898196687 4632340.299854566, 299487.2426530377 4632334.690285671, 299485.5523315105 4632338.138201234, 299479.8046119286 4632339.488806853, 299474.7335162726 4632333.563987813, 299470.7093321666 4632338.266547193, 299465.2979083629 4632341.2301232, 299459.1929376494 4632346.135650815, 299454.5498088149 4632350.111090073, 299452.8222336208 4632351.937649002, 299461.4276780455 4632362.052478368, 299464.7891157174 4632362.4580321, 299488.4963862994 4632345.578545991, 299495.9072543767 4632355.782556777, 299499.8203219606 4632352.449962161, 299502.2789134295 4632355.336755473, 299503.045770633 4632355.115176534, 299508.4580550682 4632361.941641148, 299506.4452511675 4632363.676192002, 299513.1287092359 4632372.844985382, 299510.9314909971 4632374.22912135, 299517.579070079 4632384.487943019, 299521.7573028316 4632381.125682062, 299530.1286005818 4632391.491640386, 299536.8400311583 4632408.460579416, 299517.3168932917 4632421.888582533, 299516.0379568965 4632429.325397833, 299540.7116008534 4632461.624672787))",87,7.0,3445.8992706173335,39.60803759330268,0.6133338683983613
760594426,,surface,"POLYGON ((299611.8270872337 4632556.637668503, 299613.3366637581 4632555.928512143, 299610.3434023404 4632551.167599381, 299656.8952484161 4632521.934386094, 299660.6741579526 4632527.440005095, 299661.7827601787 4632526.364300724, 299667.2502521871 4632534.278334562, 299675.8648796494 4632545.626610924, 299674.850139095 4632546.78857617, 299678.2176346362 4632551.261192538, 299656.4717027941 4632567.81828027, 299663.6172650508 4632578.063228828, 299649.9985494644 4632588.613617945, 299640.8733688302 4632575.957338566, 299639.2349988044 4632575.336618686, 299630.7289401266 4632581.46514834, 299626.1941922996 4632575.980779094, 299617.883636069 4632565.10185001, 299611.8270872337 4632556.637668503))",72,3.0,2384.6132154395023,33.11962799221531,0.424436100187382
